machineID,datetime,volt_min_3h,rotate_min_3h,pressure_min_3h,vibration_min_3h,volt_max_3h,rotate_max_3h,pressure_max_3h,vibration_max_3h,volt_mean_3h,rotate_mean_3h,pressure_mean_3h,vibration_mean_3h,volt_sd_3h,rotate_sd_3h,pressure_sd_3h,vibration_sd_3h,volt_min_24h,rotate_min_24h,pressure_min_24h,vibration_min_24h,volt_max_24h,rotate_max_24h,pressure_max_24h,vibration_max_24h,volt_mean_24h,rotate_mean_24h,pressure_mean_24h,vibration_mean_24h,volt_sd_24h,rotate_sd_24h,pressure_sd_24h,vibration_sd_24h,error1count,error2count,error3count,error4count,error5count,comp1,comp2,comp3,comp4,model,age,failure
3,02-01-15 6:00,159.3024003,441.9875904,85.2995674,34.3119542,172.0022477,514.053356,122.6405002,43.5191996,166.8257319,485.1476999,105.5192773,39.77045315,6.667247481,38.08885299,18.86231115,4.83588484,138.8981644,382.6485879,80.90882418,27.49550731,204.9436706,536.4874356,122.6405002,48.56769373,170.0668246,460.9568029,101.3952636,37.98964283,12.13370254,50.05446352,10.83110674,5.845904425,0,0,0,0,0,140,35,200,185,model3,8,none
3,02-01-15 9:00,138.7803913,404.5700349,86.69817423,35.48515161,169.22965,481.1591828,94.97060766,39.27138162,153.9830234,454.0975108,91.51483607,37.88857972,15.22467707,42.95356391,4.30084938,2.089292425,138.7803913,382.6485879,80.90882418,27.49550731,204.9436706,536.4874356,122.6405002,48.56769373,168.1209224,461.596477,101.3638042,38.45024772,13.24772345,50.15584948,10.87437277,5.465542874,0,0,0,0,0,140.125,35.125,200.125,185.125,model3,8,none
3,02-01-15 12:00,164.1854306,446.0544512,91.91258857,35.71004298,179.530588,484.9220335,94.63611372,44.84287518,173.7550968,463.703992,93.66855982,39.02473548,8.346573357,19.67797971,1.523351157,5.054957166,138.7803913,382.6485879,80.90882418,27.64429827,204.9436706,536.4874356,122.6405002,48.56769373,167.7982947,461.27909,100.1275155,38.93355531,13.53543984,48.38539353,11.06430336,4.923139683,0,0,0,0,0,140.25,35.25,200.25,185.25,model3,8,none
3,02-01-15 15:00,157.2063069,452.5302854,100.5475136,39.37694696,181.0556598,497.5041443,109.1789055,43.80391357,171.6403254,480.3208097,103.82175,42.08451961,12.69205666,24.29086971,4.677514914,2.373158482,138.7803913,383.8813567,80.90882418,27.64429827,204.9436706,536.4874356,122.6405002,48.56769373,168.836017,463.9046955,99.41761135,38.96642457,12.42016767,44.56768108,10.98213605,5.045656287,0,0,0,0,0,140.375,35.375,200.375,185.375,model3,8,none
3,02-01-15 18:00,149.4191935,449.6736958,102.3141096,34.35797702,171.6553615,550.3325116,116.158379,42.63153162,163.6180668,500.5698343,110.0608473,38.64103286,12.33229826,50.33897944,7.067945899,4.144528759,138.7803913,383.8813567,80.90882418,27.64429827,204.9436706,536.4874356,122.6405002,48.56769373,169.4893055,468.0313528,99.75524676,39.90560677,12.73537561,43.72134954,10.89221447,4.599909399,0,0,0,0,0,140.5,35.5,200.5,185.5,model3,8,none
3,02-01-15 21:00,154.3947198,506.2868732,105.9380587,35.96412231,176.0270764,529.6006387,114.3376905,41.0897145,162.747365,519.3940963,109.4349967,38.65416917,11.62741153,11.9244864,4.372706899,2.572256226,138.7803913,383.8813567,80.90882418,34.3119542,204.9436706,550.3325116,122.6405002,48.56769373,168.7563841,471.7779896,101.3369296,40.36709753,12.86270912,45.59174485,10.40237434,3.815477225,0,0,0,0,0,140.625,35.625,200.625,185.625,model3,8,none
3,03-01-15 0:00,140.0035271,421.8329078,100.3879248,33.60775653,168.0722908,497.1295881,113.9937795,44.04763338,152.5298949,453.4462593,107.7310409,37.56723542,14.27537015,39.0725067,6.866966727,5.65809437,138.7803913,383.8813567,85.2995674,34.3119542,204.9436706,550.3325116,122.6405002,48.56769373,167.9896497,476.3524499,103.3616139,40.17500367,13.12853939,45.51059611,9.653525659,3.978894776,0,0,0,0,0,140.75,35.75,200.75,185.75,model3,8,none
3,03-01-15 3:00,167.6759904,400.8800542,95.42782664,36.94033683,178.725697,561.5669164,125.6005064,47.65162546,173.3311934,472.2999922,105.5141407,41.53800756,5.529464416,81.81658215,17.39535644,5.514208727,138.7803913,395.9607497,85.2995674,33.60775653,181.0556598,561.5669164,122.6405002,46.31341525,164.1056747,481.8356545,102.7115282,39.64887488,11.89139493,44.08843475,9.576657971,3.864101961,0,0,0,0,0,140.875,35.875,200.875,185.875,model3,8,none
3,03-01-15 6:00,160.7088346,395.9003154,104.5753245,33.70947756,191.9923771,466.4870653,108.6849468,40.90266706,172.865835,427.437941,106.6497179,37.62247303,16.76591459,35.88787087,2.055091073,3.63810693,138.7803913,395.9003154,86.69817423,33.60775653,181.0556598,561.5669164,125.6005064,47.65162546,164.3332783,476.7022212,104.2113376,38.9873532,12.24397208,45.11532903,10.05747314,3.94594541,0,0,0,0,0,141,36,201,186,model3,8,none
3,03-01-15 9:00,153.6688665,388.9397438,87.69565205,37.52893415,211.9512242,473.040872,107.5835767,41.12844658,185.4540558,433.0379564,96.07282254,39.14555202,29.49882501,42.19986412,10.30761356,1.827495937,140.0035271,395.9003154,91.91258857,33.60775653,211.9512242,561.5669164,125.6005064,47.65162546,168.6076348,471.262036,104.4197113,39.20497181,15.24127389,45.46119833,8.590271113,3.831328958,0,0,0,0,0,141.125,36.125,201.125,186.125,model3,8,none
